"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","2,920","1.6",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","2,460","1.3",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","1,720","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","820","0.4",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","176,450","94.2",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","4,100","2.4",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","2,350","1.4",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","2,310","1.3",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","1,340","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","750","0.4",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","164,120","94.5",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","4,680","2.6",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","2,430","1.3",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","2,660","1.5",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","1,440","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","750","0.4",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","172,470","94.3",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","6,500","2.9",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","3,600","1.6",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","3,150","1.4",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","2,290","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","1,000","0.4",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","208,230","93.6",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","9,450","4.0",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","5,110","2.2",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","3,840","1.6",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","2,450","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","1,220","0.5",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","217,890","91.7",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","9,390","3.4",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","6,390","2.3",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","5,020","1.8",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","2,660","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","1,430","0.5",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","254,780","92.0",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","19,270","4.3",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","14,610","3.2",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","8,290","1.8",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","4,550","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","3,440","0.8",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","457,210","407,050","89.9",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","20,720","4.0",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","17,350","3.4",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","9,850","1.9",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","4,270","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","3,430","0.7",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","520,580","464,960","90.1",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","19,690","3.9",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","16,590","3.3",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","10,110","2.0",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","5,010","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","3,380","0.7",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","510,220","455,440","90.1",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","18,600","4.3",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","13,650","3.1",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","9,470","2.2",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","4,110","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","3,110","0.7",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","440,420","391,480","89.7",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","21,510","4.3",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","17,250","3.5",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","10,930","2.2",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","4,380","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","3,500","0.7",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2014/15","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","499,890","442,340","89.3",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","21,380","4.3",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","17,500","3.5",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","11,100","2.2",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","7,060","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","3,500","0.7",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2015/16","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","509,360","448,830","89.4",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","22,010","4.5",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","18,080","3.7",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","11,020","2.3",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","5,360","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","4,200","0.9",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2016/17","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","494,880","434,220","88.7",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","17,430","4.7",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","12,340","3.3",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","9,390","2.5",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","5,820","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","3,070","0.8",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2017/18","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","375,760","327,720","88.6",""
"Percentage of apprenticeship starts for each ethnicity","Asian/Asian British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","393,380"," 21,370 ","5.5",""
"Percentage of apprenticeship starts for each ethnicity","Black/African/Caribbean/Black British","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","393,380"," 13,510 ","3.5",""
"Percentage of apprenticeship starts for each ethnicity","Mixed/Multiple Ethnic group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","393,380"," 10,520 ","2.7",""
"Percentage of apprenticeship starts for each ethnicity","Not known/not provided","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","393,380"," 6,660 ","n/a",""
"Percentage of apprenticeship starts for each ethnicity","Other Ethnic group","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","393,380"," 2,990 ","0.8",""
"Percentage of apprenticeship starts for each ethnicity","White","ONS 5+1 2011","2018/19","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","393,380"," 338,330 ","87.5",""
