"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Geography","Type of school","Value","Numerator","Denominator"
"Permanent exclusions","2017/18","Academic Year","Total","ONS 5+1","England","State-funded primary","0.025656","1210","4716244"
"Permanent exclusions","2017/18","Academic Year","White","ONS 5+1","England","State-funded primary","0.0279467","974","3485200"
"Permanent exclusions","2017/18","Academic Year","White British","ONS 18+1","England","State-funded primary","0.02943","917","3115863"
"Permanent exclusions","2017/18","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.0412337","5","12126"
"Permanent exclusions","2017/18","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.150279","7","4658"
"Permanent exclusions","2017/18","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.100374","18","17933"
"Permanent exclusions","2017/18","Academic Year","White other","ONS 18+1","England","State-funded primary","0.00806885","27","334620"
"Permanent exclusions","2017/18","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.0453579","132","291019"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.09051","67","74025"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.0394682","16","40539"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.0158845","11","69250"
"Permanent exclusions","2017/18","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.0354461","38","107205"
"Permanent exclusions","2017/18","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.00344828","18","521999"
"Permanent exclusions","2017/18","Academic Year","Indian","ONS 18+1","England","State-funded primary","0.000689555","1","145021"
"Permanent exclusions","2017/18","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.00574641","12","208826"
"Permanent exclusions","2017/18","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0.00123968","1","80666"
"Permanent exclusions","2017/18","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0.00457216","4","87486"
"Permanent exclusions","2017/18","Academic Year","Black","ONS 5+1","England","State-funded primary","0.0275152","72","261674"
"Permanent exclusions","2017/18","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.0819372","38","46377"
"Permanent exclusions","2017/18","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.0150932","27","178888"
"Permanent exclusions","2017/18","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.019226","7","36409"
"Permanent exclusions","2017/18","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0","0","22552"
"Permanent exclusions","2017/18","Academic Year","Other","ONS 5+1","England","State-funded primary","0.0075774","7","92380"
"Permanent exclusions","2017/18","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.0183456","286","1558961"
"Permanent exclusions","2017/18","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.0169","7","41420"
"Permanent exclusions","2017/18","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.202919","6612","3258451"
"Permanent exclusions","2017/18","Academic Year","White","ONS 5+1","England","State-funded secondary","0.203241","4912","2416841"
"Permanent exclusions","2017/18","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.20437","4542","2222444"
"Permanent exclusions","2017/18","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.276533","29","10487"
"Permanent exclusions","2017/18","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","0.881834","10","1134"
"Permanent exclusions","2017/18","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.958546","77","8033"
"Permanent exclusions","2017/18","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.145356","254","174743"
"Permanent exclusions","2017/18","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.356177","606","170140"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded secondary","0.580426","268","46173"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.321888","69","21436"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded secondary","0.208323","84","40322"
"Permanent exclusions","2017/18","Academic Year","Mixed other","ONS 18+1","England","State-funded secondary","0.297385","185","62209"
"Permanent exclusions","2017/18","Academic Year","Asian","ONS 5+1","England","State-funded secondary","0.0933276","336","360022"
"Permanent exclusions","2017/18","Academic Year","Indian","ONS 18+1","England","State-funded secondary","0.0415194","41","98749"
"Permanent exclusions","2017/18","Academic Year","Pakistani","ONS 18+1","England","State-funded secondary","0.135905","193","142011"
"Permanent exclusions","2017/18","Academic Year","Bangladeshi","ONS 18+1","England","State-funded secondary","0.0928364","55","59244"
"Permanent exclusions","2017/18","Academic Year","Asian other","ONS 18+1","England","State-funded secondary","0.0783098","47","60018"
"Permanent exclusions","2017/18","Academic Year","Black","ONS 5+1","England","State-funded secondary","0.267858","508","189653"
"Permanent exclusions","2017/18","Academic Year","Black Caribbean","ONS 18+1","England","State-funded secondary","0.504126","212","42053"
"Permanent exclusions","2017/18","Academic Year","Black African","ONS 18+1","England","State-funded secondary","0.181262","225","124130"
"Permanent exclusions","2017/18","Academic Year","Black other","ONS 18+1","England","State-funded secondary","0.302514","71","23470"
"Permanent exclusions","2017/18","Academic Year","Chinese","ONS 5+1","England","State-funded secondary","0.0232019","3","12930"
"Permanent exclusions","2017/18","Academic Year","Other","ONS 5+1","England","State-funded secondary","0.150043","88","58650"
"Permanent exclusions","2017/18","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded secondary","0.193854","1911","985792"
"Permanent exclusions","2017/18","Academic Year","Unclassified","ONS 18+1","England","State-funded secondary","0.316638","159","50215"
"Permanent exclusions","2017/18","Academic Year","Total","ONS 5+1","England","Special","0.070308","83","118052"
"Permanent exclusions","2017/18","Academic Year","White","ONS 5+1","England","Special","0.0673716","59","87574"
"Permanent exclusions","2017/18","Academic Year","White British","ONS 18+1","England","Special","0.0704824","58","82290"
"Permanent exclusions","2017/18","Academic Year","White Irish","ONS 18+1","England","Special","0","0","318"
"Permanent exclusions","2017/18","Academic Year","Irish Traveller","ONS 18+1","England","Special","0","0","139"
"Permanent exclusions","2017/18","Academic Year","Gypsy/Roma","ONS 18+1","England","Special","0","0","422"
"Permanent exclusions","2017/18","Academic Year","White other","ONS 18+1","England","Special","0.0227015","1","4405"
"Permanent exclusions","2017/18","Academic Year","Mixed","ONS 5+1","England","Special","0.102941","7","6800"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Special","0.0482393","1","2073"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Black African","ONS 18+1","England","Special","0.111483","1","897"
"Permanent exclusions","2017/18","Academic Year","Mixed White/Asian","ONS 18+1","England","Special","0","0","1233"
"Permanent exclusions","2017/18","Academic Year","Mixed other","ONS 18+1","England","Special","0.19253","5","2597"
"Permanent exclusions","2017/18","Academic Year","Asian","ONS 5+1","England","Special","0.0602513","7","11618"
"Permanent exclusions","2017/18","Academic Year","Indian","ONS 18+1","England","Special","0.04649","1","2151"
"Permanent exclusions","2017/18","Academic Year","Pakistani","ONS 18+1","England","Special","0.0364564","2","5486"
"Permanent exclusions","2017/18","Academic Year","Bangladeshi","ONS 18+1","England","Special","0.153531","3","1954"
"Permanent exclusions","2017/18","Academic Year","Asian other","ONS 18+1","England","Special","0.049334","1","2027"
"Permanent exclusions","2017/18","Academic Year","Black","ONS 5+1","England","Special","0.0996264","8","8030"
"Permanent exclusions","2017/18","Academic Year","Black Caribbean","ONS 18+1","England","Special","0.0579039","1","1727"
"Permanent exclusions","2017/18","Academic Year","Black African","ONS 18+1","England","Special","0.0789889","4","5064"
"Permanent exclusions","2017/18","Academic Year","Black other","ONS 18+1","England","Special","0.242131","3","1239"
"Permanent exclusions","2017/18","Academic Year","Chinese","ONS 5+1","England","Special","0","0","390"
"Permanent exclusions","2017/18","Academic Year","Other","ONS 5+1","England","Special","0.0518941","1","1927"
"Permanent exclusions","2017/18","Academic Year","All Ethnic Minorities","ONS 18+1","England","Special","0.0704867","24","34049"
"Permanent exclusions","2017/18","Academic Year","Unclassified","ONS 18+1","England","Special","0.0583771","1","1713"
"Permanent exclusions","2016/17","Academic Year","Total","ONS 5+1","England","Total","0.096186","7719","8025073"
"Permanent exclusions","2016/17","Academic Year","White","ONS 5+1","England","Total","0.0985362","5897","5984602"
"Permanent exclusions","2016/17","Academic Year","White British","ONS 18+1","England","Total","0.100552","5470","5439960"
"Permanent exclusions","2016/17","Academic Year","White Irish","ONS 18+1","England","Total","0.141673","33","23293"
"Permanent exclusions","2016/17","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.447658","26","5808"
"Permanent exclusions","2016/17","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.355955","91","25565"
"Permanent exclusions","2016/17","Academic Year","White other","ONS 18+1","England","Total","0.0565334","277","489976"
"Permanent exclusions","2016/17","Academic Year","Mixed","ONS 5+1","England","Total","0.141801","635","447811"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.237371","284","119644"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.114134","68","59579"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.0913259","96","105118"
"Permanent exclusions","2016/17","Academic Year","Mixed other","ONS 18+1","England","Total","0.114394","187","163470"
"Permanent exclusions","2016/17","Academic Year","Asian","ONS 5+1","England","Total","0.0355538","310","871918"
"Permanent exclusions","2016/17","Academic Year","Indian","ONS 18+1","England","Total","0.0218173","52","238343"
"Permanent exclusions","2016/17","Academic Year","Pakistani","ONS 18+1","England","Total","0.0531456","186","349982"
"Permanent exclusions","2016/17","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.0301997","42","139074"
"Permanent exclusions","2016/17","Academic Year","Asian other","ONS 18+1","England","Total","0.0207585","30","144519"
"Permanent exclusions","2016/17","Academic Year","Black","ONS 5+1","England","Total","0.136774","619","452572"
"Permanent exclusions","2016/17","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.282959","262","92593"
"Permanent exclusions","2016/17","Academic Year","Black African","ONS 18+1","England","Total","0.0894779","269","300633"
"Permanent exclusions","2016/17","Academic Year","Black other","ONS 18+1","England","Total","0.148283","88","59346"
"Permanent exclusions","2016/17","Academic Year","Chinese","ONS 5+1","England","Total","0.00569282","2","35132"
"Permanent exclusions","2016/17","Academic Year","Other","ONS 5+1","England","Total","0.0680948","100","146854"
"Permanent exclusions","2016/17","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.0837559","2093","2498929"
"Permanent exclusions","2016/17","Academic Year","Unclassified","ONS 18+1","England","Total","0.181008","156","86184"
"Permanent exclusions","2016/17","Academic Year","Total","ONS 5+1","England","State-funded primary","0.0267184","1253","4689658"
"Permanent exclusions","2016/17","Academic Year","White","ONS 5+1","England","State-funded primary","0.0292142","1017","3481189"
"Permanent exclusions","2016/17","Academic Year","White British","ONS 18+1","England","State-funded primary","0.0306215","957","3125259"
"Permanent exclusions","2016/17","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.0162536","2","12305"
"Permanent exclusions","2016/17","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.237735","11","4627"
"Permanent exclusions","2016/17","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.103312","18","17423"
"Permanent exclusions","2016/17","Academic Year","White other","ONS 18+1","England","State-funded primary","0.00901811","29","321575"
"Permanent exclusions","2016/17","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.0412399","116","281281"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.0768313","56","72887"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.0409396","16","39082"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.015006","10","66640"
"Permanent exclusions","2016/17","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.0331152","34","102672"
"Permanent exclusions","2016/17","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.0033","17","515151"
"Permanent exclusions","2016/17","Academic Year","Indian","ONS 18+1","England","State-funded primary","0","0","141120"
"Permanent exclusions","2016/17","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.00721629","15","207863"
"Permanent exclusions","2016/17","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0","0","80275"
"Permanent exclusions","2016/17","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0.00232848","2","85893"
"Permanent exclusions","2016/17","Academic Year","Black","ONS 5+1","England","State-funded primary","0.0312381","82","262500"
"Permanent exclusions","2016/17","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.0665364","32","48094"
"Permanent exclusions","2016/17","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.0196182","35","178406"
"Permanent exclusions","2016/17","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.0416667","15","36000"
"Permanent exclusions","2016/17","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0","0","21881"
"Permanent exclusions","2016/17","Academic Year","Other","ONS 5+1","England","State-funded primary","0.00779996","7","89744"
"Permanent exclusions","2016/17","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.0184738","282","1526487"
"Permanent exclusions","2016/17","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.0369276","14","37912"
"Permanent exclusions","2016/17","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.198071","6384","3223089"
"Permanent exclusions","2016/17","Academic Year","White","ONS 5+1","England","State-funded secondary","0.19923","4820","2419314"
"Permanent exclusions","2016/17","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.199377","4457","2235468"
"Permanent exclusions","2016/17","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.290398","31","10675"
"Permanent exclusions","2016/17","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","1.41509","15","1060"
"Permanent exclusions","2016/17","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.940722","73","7760"
"Permanent exclusions","2016/17","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.148463","244","164351"
"Permanent exclusions","2016/17","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.318044","510","160355"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded secondary","0.501527","225","44863"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded secondary","0.263852","52","19708"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded secondary","0.230162","86","37365"
"Permanent exclusions","2016/17","Academic Year","Mixed other","ONS 18+1","England","State-funded secondary","0.25163","147","58419"
"Permanent exclusions","2016/17","Academic Year","Asian","ONS 5+1","England","State-funded secondary","0.083856","290","345831"
"Permanent exclusions","2016/17","Academic Year","Indian","ONS 18+1","England","State-funded secondary","0.0546316","52","95183"
"Permanent exclusions","2016/17","Academic Year","Pakistani","ONS 18+1","England","State-funded secondary","0.124195","170","136882"
"Permanent exclusions","2016/17","Academic Year","Bangladeshi","ONS 18+1","England","State-funded secondary","0.0719551","41","56980"
"Permanent exclusions","2016/17","Academic Year","Asian other","ONS 18+1","England","State-funded secondary","0.0475469","27","56786"
"Permanent exclusions","2016/17","Academic Year","Black","ONS 5+1","England","State-funded secondary","0.290962","531","182498"
"Permanent exclusions","2016/17","Academic Year","Black Caribbean","ONS 18+1","England","State-funded secondary","0.527668","226","42830"
"Permanent exclusions","2016/17","Academic Year","Black African","ONS 18+1","England","State-funded secondary","0.198224","233","117544"
"Permanent exclusions","2016/17","Academic Year","Black other","ONS 18+1","England","State-funded secondary","0.325438","72","22124"
"Permanent exclusions","2016/17","Academic Year","Chinese","ONS 5+1","England","State-funded secondary","0.0155255","2","12882"
"Permanent exclusions","2016/17","Academic Year","Other","ONS 5+1","England","State-funded secondary","0.166194","92","55357"
"Permanent exclusions","2016/17","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded secondary","0.190057","1788","940769"
"Permanent exclusions","2016/17","Academic Year","Unclassified","ONS 18+1","England","State-funded secondary","0.296679","139","46852"
"Permanent exclusions","2016/17","Academic Year","Total","ONS 5+1","England","Special","0.0730018","82","112326"
"Permanent exclusions","2016/17","Academic Year","White","ONS 5+1","England","Special","0.0713445","60","84099"
"Permanent exclusions","2016/17","Academic Year","White British","ONS 18+1","England","Special","0.0706776","56","79233"
"Permanent exclusions","2016/17","Academic Year","White Irish","ONS 18+1","England","Special","0","0","313"
"Permanent exclusions","2016/17","Academic Year","Irish Traveller","ONS 18+1","England","Special","0","0","121"
"Permanent exclusions","2016/17","Academic Year","Gypsy/Roma","ONS 18+1","England","Special","0","0","382"
"Permanent exclusions","2016/17","Academic Year","White other","ONS 18+1","England","Special","0.0987654","4","4050"
"Permanent exclusions","2016/17","Academic Year","Mixed","ONS 5+1","England","Special","0.145749","9","6175"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Special","0.158395","3","1894"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Black African","ONS 18+1","England","Special","0","0","789"
"Permanent exclusions","2016/17","Academic Year","Mixed White/Asian","ONS 18+1","England","Special","0","0","1113"
"Permanent exclusions","2016/17","Academic Year","Mixed other","ONS 18+1","England","Special","0.252207","6","2379"
"Permanent exclusions","2016/17","Academic Year","Asian","ONS 5+1","England","Special","0.0274323","3","10936"
"Permanent exclusions","2016/17","Academic Year","Indian","ONS 18+1","England","Special","0","0","2040"
"Permanent exclusions","2016/17","Academic Year","Pakistani","ONS 18+1","England","Special","0.0190949","1","5237"
"Permanent exclusions","2016/17","Academic Year","Bangladeshi","ONS 18+1","England","Special","0.0549753","1","1819"
"Permanent exclusions","2016/17","Academic Year","Asian other","ONS 18+1","England","Special","0.0543478","1","1840"
"Permanent exclusions","2016/17","Academic Year","Black","ONS 5+1","England","Special","0.0792184","6","7574"
"Permanent exclusions","2016/17","Academic Year","Black Caribbean","ONS 18+1","England","Special","0.239664","4","1669"
"Permanent exclusions","2016/17","Academic Year","Black African","ONS 18+1","England","Special","0.0213538","1","4683"
"Permanent exclusions","2016/17","Academic Year","Black other","ONS 18+1","England","Special","0.0818331","1","1222"
"Permanent exclusions","2016/17","Academic Year","Chinese","ONS 5+1","England","Special","0","0","369"
"Permanent exclusions","2016/17","Academic Year","Other","ONS 5+1","England","Special","0.0570451","1","1753"
"Permanent exclusions","2016/17","Academic Year","All Ethnic Minorities","ONS 18+1","England","Special","0.0726171","23","31673"
"Permanent exclusions","2016/17","Academic Year","Unclassified","ONS 18+1","England","Special","0.211268","3","1420"
"Permanent exclusions","2015/16","Academic Year","Total","ONS 5+1","England","Total","0.0844342","6684","7916227"
"Permanent exclusions","2015/16","Academic Year","White","ONS 5+1","England","Total","0.0963888","5056","5245421"
"Permanent exclusions","2015/16","Academic Year","White British","ONS 18+1","England","Total","0.09851","4740","4811695"
"Permanent exclusions","2015/16","Academic Year","White Irish","ONS 18+1","England","Total","0.085466","18","21061"
"Permanent exclusions","2015/16","Academic Year","Irish Traveller","ONS 18+1","England","Total","0.488301","24","4915"
"Permanent exclusions","2015/16","Academic Year","Gypsy/Roma","ONS 18+1","England","Total","0.329303","67","20346"
"Permanent exclusions","2015/16","Academic Year","White other","ONS 18+1","England","Total","0.0534326","207","387404"
"Permanent exclusions","2015/16","Academic Year","Mixed","ONS 5+1","England","Total","0.143694","521","362576"
"Permanent exclusions","2015/16","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","Total","0.247134","249","100755"
"Permanent exclusions","2015/16","Academic Year","Mixed White/Black African","ONS 18+1","England","Total","0.116093","55","47376"
"Permanent exclusions","2015/16","Academic Year","Mixed White/Asian","ONS 18+1","England","Total","0.0821096","69","84034"
"Permanent exclusions","2015/16","Academic Year","Mixed other","ONS 18+1","England","Total","0.113487","148","130411"
"Permanent exclusions","2015/16","Academic Year","Asian","ONS 5+1","England","Total","0.0432348","314","726267"
"Permanent exclusions","2015/16","Academic Year","Indian","ONS 18+1","England","Total","0.0157929","31","196291"
"Permanent exclusions","2015/16","Academic Year","Pakistani","ONS 18+1","England","Total","0.0672938","197","292746"
"Permanent exclusions","2015/16","Academic Year","Bangladeshi","ONS 18+1","England","Total","0.0385017","45","116878"
"Permanent exclusions","2015/16","Academic Year","Asian other","ONS 18+1","England","Total","0.0340667","41","120352"
"Permanent exclusions","2015/16","Academic Year","Black","ONS 5+1","England","Total","0.138989","540","388519"
"Permanent exclusions","2015/16","Academic Year","Black Caribbean","ONS 18+1","England","Total","0.285021","243","85257"
"Permanent exclusions","2015/16","Academic Year","Black African","ONS 18+1","England","Total","0.09154","232","253441"
"Permanent exclusions","2015/16","Academic Year","Black other","ONS 18+1","England","Total","0.130467","65","49821"
"Permanent exclusions","2015/16","Academic Year","Chinese","ONS 5+1","England","Total","0.0103792","3","28904"
"Permanent exclusions","2015/16","Academic Year","Other","ONS 5+1","England","Total","0.0745294","89","119416"
"Permanent exclusions","2015/16","Academic Year","All Ethnic Minorities","ONS 18+1","England","Total","0.0865783","1783","2059408"
"Permanent exclusions","2015/16","Academic Year","Unclassified","ONS 18+1","England","Total","0.163829","112","68364"
"Permanent exclusions","2015/16","Academic Year","Total","ONS 5+1","England","State-funded primary","0.0248528","1147","4615172"
"Permanent exclusions","2015/16","Academic Year","White","ONS 5+1","England","State-funded primary","0.0320973","880","2741666"
"Permanent exclusions","2015/16","Academic Year","White British","ONS 18+1","England","State-funded primary","0.0336621","836","2483503"
"Permanent exclusions","2015/16","Academic Year","White Irish","ONS 18+1","England","State-funded primary","0.0199322","2","10034"
"Permanent exclusions","2015/16","Academic Year","Irish Traveller","ONS 18+1","England","State-funded primary","0.163979","6","3659"
"Permanent exclusions","2015/16","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded primary","0.0761673","10","13129"
"Permanent exclusions","2015/16","Academic Year","White other","ONS 18+1","England","State-funded primary","0.0112388","26","231341"
"Permanent exclusions","2015/16","Academic Year","Mixed","ONS 5+1","England","State-funded primary","0.0511883","107","209032"
"Permanent exclusions","2015/16","Academic Year","Mixed White/Black Caribbean","ONS 18+1","England","State-funded primary","0.0968367","54","55764"
"Permanent exclusions","2015/16","Academic Year","Mixed White/Black African","ONS 18+1","England","State-funded primary","0.05572","16","28715"
"Permanent exclusions","2015/16","Academic Year","Mixed White/Asian","ONS 18+1","England","State-funded primary","0.0245509","12","48878"
"Permanent exclusions","2015/16","Academic Year","Mixed other","ONS 18+1","England","State-funded primary","0.033036","25","75675"
"Permanent exclusions","2015/16","Academic Year","Asian","ONS 5+1","England","State-funded primary","0.00308983","12","388371"
"Permanent exclusions","2015/16","Academic Year","Indian","ONS 18+1","England","State-funded primary","0.000963159","1","103825"
"Permanent exclusions","2015/16","Academic Year","Pakistani","ONS 18+1","England","State-funded primary","0.00378346","6","158585"
"Permanent exclusions","2015/16","Academic Year","Bangladeshi","ONS 18+1","England","State-funded primary","0.00164514","1","60785"
"Permanent exclusions","2015/16","Academic Year","Asian other","ONS 18+1","England","State-funded primary","0.00613723","4","65176"
"Permanent exclusions","2015/16","Academic Year","Black","ONS 5+1","England","State-funded primary","0.0369885","77","208173"
"Permanent exclusions","2015/16","Academic Year","Black Caribbean","ONS 18+1","England","State-funded primary","0.105037","43","40938"
"Permanent exclusions","2015/16","Academic Year","Black African","ONS 18+1","England","State-funded primary","0.0157576","22","139615"
"Permanent exclusions","2015/16","Academic Year","Black other","ONS 18+1","England","State-funded primary","0.0434468","12","27620"
"Permanent exclusions","2015/16","Academic Year","Chinese","ONS 5+1","England","State-funded primary","0.00631792","1","15828"
"Permanent exclusions","2015/16","Academic Year","Other","ONS 5+1","England","State-funded primary","0.0150306","10","66531"
"Permanent exclusions","2015/16","Academic Year","All Ethnic Minorities","ONS 18+1","England","State-funded primary","0.0219004","251","1146098"
"Permanent exclusions","2015/16","Academic Year","Unclassified","ONS 18+1","England","State-funded primary","0.0415376","11","26482"
"Permanent exclusions","2015/16","Academic Year","Total","ONS 5+1","England","State-funded secondary","0.170538","5446","3193418"
"Permanent exclusions","2015/16","Academic Year","White","ONS 5+1","England","State-funded secondary","0.169358","4110","2426806"
"Permanent exclusions","2015/16","Academic Year","White British","ONS 18+1","England","State-funded secondary","0.17031","3841","2255297"
"Permanent exclusions","2015/16","Academic Year","White Irish","ONS 18+1","England","State-funded secondary","0.148796","16","10753"
"Permanent exclusions","2015/16","Academic Year","Irish Traveller","ONS 18+1","England","State-funded secondary","1.48601","17","1144"
"Permanent exclusions","2015/16","Academic Year","Gypsy/Roma","ONS 18+1","England","State-funded secondary","0.827286","57","6890"
"Permanent exclusions","2015/16","Academic Year","White other","ONS 18+1","England","State-funded secondary","0.117206","179","152722"
"Permanent exclusions","2015/16","Academic Year","Mixed","ONS 5+1","England","State-funded secondary","0.273241","405","148221"
