"Measure","Time","Time_Type","Local_Authority_code","Local_Authority_name","Type of school","Ethnicity","Ethnicity_type","Value","Numerator","Denominator"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","All Ethnic Minorities","ONS 18+1","5.14","865","16836"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","Total","Unclassified","ONS 18+1","4.81","21","437"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","White","ONS 5+1","0.85","42","4949"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","White British","ONS 18+1","1.17","33","2822"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","White Irish","ONS 18+1","5.41","4","74"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Irish Traveller","ONS 18+1","0","0","27"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Gypsy/Roma","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","White other","ONS 18+1","0.25","5","2021"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Mixed","ONS 5+1","1.3","19","1467"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Mixed White/Black Caribbean","ONS 18+1","0.58","2","342"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Mixed White/Black African","ONS 18+1","2.58","5","194"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Mixed White/Asian","ONS 18+1","0.39","1","258"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Mixed other","ONS 18+1","1.63","11","673"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Asian","ONS 5+1","0.29","7","2447"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Indian","ONS 18+1","0","0","92"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Pakistani","ONS 18+1","0","0","92"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Bangladeshi","ONS 18+1","0.38","7","1860"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Asian other","ONS 18+1","0","0","403"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Black","ONS 5+1","0.86","18","2099"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Black Caribbean","ONS 18+1","2.67","5","187"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Black African","ONS 18+1","0.58","10","1732"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Black other","ONS 18+1","1.67","3","180"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Chinese","ONS 5+1","0","0","115"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Other","ONS 5+1","0.45","3","673"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","All Ethnic Minorities","ONS 18+1","0.63","56","8928"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded primary","Unclassified","ONS 18+1","2.08","4","192"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","White","ONS 5+1","9.41","351","3731"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","White British","ONS 18+1","12.15","260","2140"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","White Irish","ONS 18+1","8.73","11","126"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Irish Traveller","ONS 18+1","120","6","5"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Gypsy/Roma","ONS 18+1","200","8","4"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","White other","ONS 18+1","4.53","66","1456"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Mixed","ONS 5+1","12.94","160","1236"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Mixed White/Black Caribbean","ONS 18+1","20.39","62","304"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Mixed White/Black African","ONS 18+1","10.33","19","184"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Mixed White/Asian","ONS 18+1","8.77","15","171"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Mixed other","ONS 18+1","11.09","64","577"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Asian","ONS 5+1","6.7","120","1791"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Indian","ONS 18+1","1.39","1","72"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Pakistani","ONS 18+1","2.84","4","141"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Bangladeshi","ONS 18+1","8.45","113","1337"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Asian other","ONS 18+1","0.83","2","241"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Black","ONS 5+1","14.75","325","2203"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Black Caribbean","ONS 18+1","28.14","103","366"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Black African","ONS 18+1","12.35","213","1725"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Black other","ONS 18+1","8.04","9","112"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Chinese","ONS 5+1","0","0","55"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Other","ONS 5+1","10.27","80","779"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","All Ethnic Minorities","ONS 18+1","10.14","776","7655"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","State-funded secondary","Unclassified","ONS 18+1","7","17","243"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","White","ONS 5+1","14.58","14","96"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","White British","ONS 18+1","18.52","10","54"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","White Irish","ONS 18+1","28.57","2","7"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","White other","ONS 18+1","5.71","2","35"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Mixed","ONS 5+1","38.24","13","34"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Mixed White/Black Caribbean","ONS 18+1","180","9","5"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Mixed White/Black African","ONS 18+1","133.33","4","3"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Mixed White/Asian","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Mixed other","ONS 18+1","0","0","24"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Asian","ONS 5+1","0","0","62"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Indian","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Pakistani","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Bangladeshi","ONS 18+1","0","0","52"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Asian other","ONS 18+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Black","ONS 5+1","18.6","16","86"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Black Caribbean","ONS 18+1","100","6","6"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Black African","ONS 18+1","14.29","10","70"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Black other","ONS 18+1","0","0","10"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Chinese","ONS 5+1","0","0","4"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Other","ONS 5+1","0","0","25"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","All Ethnic Minorities","ONS 18+1","13.04","33","253"
"Fixed period exclusions","2017/18","Academic Year","E09000007","Camden","special","Unclassified","ONS 18+1","0","0","2"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","White","ONS 5+1","5.37","992","18488"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","White British","ONS 18+1","6.62","867","13105"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","White Irish","ONS 18+1","4.82","8","166"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Irish Traveller","ONS 18+1","5.41","2","37"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Gypsy/Roma","ONS 18+1","16.8","21","125"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","White other","ONS 18+1","1.86","94","5055"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Mixed","ONS 5+1","5.67","269","4743"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Mixed White/Black Caribbean","ONS 18+1","8.98","99","1102"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Mixed White/Black African","ONS 18+1","5.29","47","888"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Mixed White/Asian","ONS 18+1","0.7","4","568"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Mixed other","ONS 18+1","5.45","119","2185"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Asian","ONS 5+1","0.96","36","3737"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Indian","ONS 18+1","0.33","3","915"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Pakistani","ONS 18+1","1","6","602"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Bangladeshi","ONS 18+1","2.22","9","406"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Asian other","ONS 18+1","0.99","18","1814"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Black","ONS 5+1","4.74","651","13730"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Black Caribbean","ONS 18+1","11.33","158","1394"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Black African","ONS 18+1","4.03","438","10877"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Black other","ONS 18+1","3.77","55","1459"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Chinese","ONS 5+1","0.34","2","587"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Other","ONS 5+1","1.5","17","1134"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","All Ethnic Minorities","ONS 18+1","3.75","1100","29314"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","Total","Unclassified","ONS 18+1","7.43","28","377"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","White","ONS 5+1","1.15","133","11572"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","White British","ONS 18+1","1.56","124","7925"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","White Irish","ONS 18+1","1.27","1","79"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Irish Traveller","ONS 18+1","6.25","2","32"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Gypsy/Roma","ONS 18+1","0","0","87"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","White other","ONS 18+1","0.17","6","3449"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Mixed","ONS 5+1","1.98","60","3029"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Mixed White/Black Caribbean","ONS 18+1","1.54","10","648"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Mixed White/Black African","ONS 18+1","0.95","5","525"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Mixed White/Asian","ONS 18+1","0.27","1","369"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Mixed other","ONS 18+1","2.96","44","1487"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Asian","ONS 5+1","0.21","5","2412"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Indian","ONS 18+1","0","0","654"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Pakistani","ONS 18+1","0","0","364"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Bangladeshi","ONS 18+1","0","0","234"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Asian other","ONS 18+1","0.43","5","1160"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Black","ONS 5+1","1.1","92","8397"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Black Caribbean","ONS 18+1","3.2","22","688"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Black African","ONS 18+1","0.94","65","6887"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Black other","ONS 18+1","0.61","5","822"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Chinese","ONS 5+1","0.23","1","426"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Other","ONS 5+1","0.3","2","660"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","All Ethnic Minorities","ONS 18+1","0.91","169","18571"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded primary","Unclassified","ONS 18+1","0","0","172"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","White","ONS 5+1","10.97","735","6701"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","White British","ONS 18+1","12.37","619","5006"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","White Irish","ONS 18+1","8.14","7","86"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Irish Traveller","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Gypsy/Roma","ONS 18+1","56.76","21","37"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","White other","ONS 18+1","5.62","88","1567"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Mixed","ONS 5+1","11.05","185","1674"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Mixed White/Black Caribbean","ONS 18+1","17.27","76","440"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Mixed White/Black African","ONS 18+1","11.83","42","355"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Mixed White/Asian","ONS 18+1","1.55","3","194"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Mixed other","ONS 18+1","9.34","64","685"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Asian","ONS 5+1","2.02","26","1290"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Indian","ONS 18+1","1.18","3","254"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Pakistani","ONS 18+1","2.6","6","231"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Bangladeshi","ONS 18+1","2.38","4","168"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Asian other","ONS 18+1","2.04","13","637"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Black","ONS 5+1","9.76","504","5166"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Black Caribbean","ONS 18+1","17.06","117","686"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Black African","ONS 18+1","9.05","350","3869"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Black other","ONS 18+1","6.06","37","611"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Chinese","ONS 5+1","0.63","1","160"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Other","ONS 5+1","3.28","15","458"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","All Ethnic Minorities","ONS 18+1","8.11","847","10443"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","State-funded secondary","Unclassified","ONS 18+1","13.57","27","199"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","White","ONS 5+1","57.67","124","215"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","White British","ONS 18+1","71.26","124","174"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","White Irish","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Gypsy/Roma","ONS 18+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","White other","ONS 18+1","0","0","39"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Mixed","ONS 5+1","60","24","40"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Mixed White/Black Caribbean","ONS 18+1","92.86","13","14"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Mixed White/Black African","ONS 18+1","0","0","8"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Mixed White/Asian","ONS 18+1","0","0","5"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Mixed other","ONS 18+1","84.62","11","13"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Asian","ONS 5+1","14.29","5","35"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Indian","ONS 18+1","0","0","7"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Pakistani","ONS 18+1","0","0","7"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Bangladeshi","ONS 18+1","125","5","4"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Asian other","ONS 18+1","0","0","17"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Black","ONS 5+1","32.93","55","167"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Black Caribbean","ONS 18+1","95","19","20"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Black African","ONS 18+1","19.01","23","121"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Black other","ONS 18+1","50","13","26"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Chinese","ONS 5+1","0","0","1"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Other","ONS 5+1","0","0","16"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","All Ethnic Minorities","ONS 18+1","28","84","300"
"Fixed period exclusions","2017/18","Academic Year","E09000011","Greenwich","special","Unclassified","ONS 18+1","16.67","1","6"
"Fixed period exclusions","2017/18","Academic Year","E09000012","Hackney","Total","White","ONS 5+1","3.91","467","11946"
"Fixed period exclusions","2017/18","Academic Year","E09000012","Hackney","Total","White British","ONS 18+1","3.39","192","5669"
"Fixed period exclusions","2017/18","Academic Year","E09000012","Hackney","Total","White Irish","ONS 18+1","12.7","32","252"
"Fixed period exclusions","2017/18","Academic Year","E09000012","Hackney","Total","Irish Traveller","ONS 18+1","19.2","24","125"
