"","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Leeds","225","1.51","189","2.19","0","0.00","438","5.70","3,987","4.60","26","1.17"
"Leicester","266","1.09","239","4.21","0","0.00","277","6.84","1,207","6.14","25","1.91"
"Leicestershire","97","1.24","22","1.95","1","0.29","215","4.76","2,815","3.43","8","2.12"
"Lewisham","16","0.62","834","5.65","1","0.17","285","4.58","379","2.75","17","1.32"
"Lincolnshire","11","0.81","25","5.24","4","1.29","108","3.71","4,366","4.40","10","2.15"
"Liverpool","24","0.81","76","2.37","5","0.52","145","3.73","2,103","3.67","77","2.70"
"Luton","571","3.32","241","5.97","0","0.00","259","8.05","828","6.70","25","3.99"
"Manchester","416","2.14","757","5.18","3","0.32","513","7.01","2,671","7.52","218","3.57"
"Medway","34","1.45","127","4.52","1","0.69","166","5.92","2,258","6.15","5","1.12"
"Merton","53","0.93","183","4.54","0","0.00","134","4.05","368","2.58","22","2.41"
"Middlesbrough","86","3.29","10","2.32","0","0.00","106","8.47","3,776","19.92","25","3.17"
"Milton Keynes","64","1.14","263","4.05","1","0.41","252","6.73","2,111","7.14","25","6.00"
"Newcastle upon Tyne","99","1.94","48","2.64","0","0.00","76","4.47","1,695","5.81","16","1.43"
"Newham","490","1.71","759","5.77","4","1.52","295","7.12","407","3.77","94","2.74"
"Norfolk","24","1.44","52","4.81","3","0.68","187","5.26","6,366","6.08","11","1.28"
"North East Lincolnshire","0","0.00","4","6.90","0","0.00","27","4.32","1,304","5.84","4","2.11"
"North Lincolnshire","49","5.33","27","21.60","0","0.00","23","5.11","2,226","9.91","32","18.93"
"North Somerset","7","1.86","6","2.99","1","1.32","63","6.19","1,389","4.91","7","10.94"
"North Tyneside","3","0.42","0","0.00","0","0.00","14","1.74","740","2.60","0","0.00"
"North Yorkshire","15","1.03","14","3.92","1","0.62","166","8.41","5,623","7.25","8","2.43"
"Northamptonshire","51","0.95","172","2.95","3","0.82","384","6.09","4,507","4.67","32","4.15"
"Northumberland","11","1.87","0","0.00","1","1.09","43","5.46","4,246","9.76","1","1.04"
"Nottingham","172","2.15","287","5.56","1","0.47","522","9.06","1,710","6.96","89","6.82"
"Nottinghamshire","26","0.78","56","3.94","4","0.88","260","4.85","6,020","5.61","12","1.76"
"Oldham","262","1.83","29","1.93","0","0.00","96","4.76","1,035","4.20","11","2.47"
"Oxfordshire","148","2.64","135","5.63","6","1.63","367","6.08","3,731","4.87","26","2.11"
"Peterborough","154","2.40","45","3.45","0","0.00","130","5.73","1,686","6.57","17","4.20"
"Plymouth","4","0.96","8","2.33","0","0.00","66","6.01","2,599","7.26","12","2.19"
"Poole","4","0.75","0","0.00","0","0.00","25","2.99","1,070","6.09","1","1.06"
"Portsmouth","25","1.56","15","1.76","0","0.00","163","12.25","2,448","11.53","4","0.80"
"Reading","53","1.07","86","4.40","4","1.89","214","9.03","679","5.81","8","2.09"
"Redbridge","474","1.54","389","6.29","0","0.00","174","4.04","372","2.76","33","3.81"
"Redcar and Cleveland","18","9.73","0","0.00","0","0.00","40","9.13","4,087","19.51","12","17.65"
"Richmond upon Thames","22","1.05","52","6.37","0","0.00","108","3.69","545","2.75","23","3.89"
"Rochdale","175","1.96","30","2.17","1","0.98","106","6.17","1,361","5.99","5","1.23"
"Rotherham","137","3.89","24","3.64","0","0.00","157","12.11","3,251","8.51","9","2.80"
"Rutland","0","0.00","1","1.56","0","0.00","1","0.67","66","1.26","1","3.57"
"Salford","2","0.19","32","1.59","0","0.00","65","2.41","1,349","4.75","19","1.65"
"Sandwell","237","1.35","307","5.58","0","0.00","337","6.73","1,218","4.23","32","2.19"
"Sefton","3","0.71","1","0.65","0","0.00","35","3.57","1,029","2.75","0","0.00"
"Sheffield","251","2.61","207","4.40","0","0.00","636","10.58","4,201","7.52","147","5.42"
"Shropshire","5","1.31","8","7.48","0","0.00","40","4.21","1,764","4.79","0","0.00"
"Slough","204","1.35","104","4.23","0","0.00","122","4.34","309","3.67","23","1.95"
"Solihull","97","2.13","121","13.73","1","0.52","307","9.75","1,456","4.93","11","3.74"
"Somerset","17","2.20","9","3.78","1","0.81","139","7.86","5,037","7.66","13","5.39"
"South Gloucestershire","15","1.12","55","7.83","1","0.66","164","8.30","2,755","8.00","3","1.31"
"South Tyneside","3","0.36","5","4.03","0","0.00","18","3.93","537","2.71","1","0.68"
"Southampton","43","1.07","27","2.68","1","0.56","132","6.42","1,176","4.96","2","0.41"
"Southend-on-Sea","42","1.90","66","4.10","5","2.34","79","4.37","1,030","4.47","13","6.37"
"Southwark","19","0.82","1,031","5.84","0","0.00","265","5.33","440","3.53","57","1.84"
"St. Helens","5","1.92","1","0.82","0","0.00","40","8.11","1,440","5.69","0","0.00"
"Staffordshire","137","2.83","55","6.66","4","1.17","246","6.22","5,067","4.73","15","2.73"
"Stockport","61","2.13","40","7.98","4","1.82","140","6.32","1,541","4.46","10","2.58"
"Stockton-on-Tees","37","2.21","28","7.41","1","0.99","97","10.99","5,298","18.87","9","6.52"
"Stoke-on-Trent","378","6.26","40","2.94","6","3.35","214","11.16","2,751","9.50","12","1.62"
"Suffolk","13","0.70","37","4.13","2","2.13","273","5.05","4,884","5.37","24","2.83"
"Sunderland","23","1.43","9","3.17","1","0.77","45","6.66","3,675","9.86","0","0.00"
"Surrey","159","1.51","118","4.31","1","0.14","239","2.48","4,682","3.66","37","2.49"
"Sutton","68","0.86","165","5.34","3","0.47","139","3.80","910","4.22","17","2.24"
"Swindon","37","0.94","28","2.84","0","0.00","136","7.14","1,839","6.96","9","2.80"
"Tameside","146","3.58","65","7.98","1","0.71","175","10.10","2,431","8.37","18","6.47"
"Telford and Wrekin","87","4.39","62","6.67","1","0.81","195","13.35","2,666","10.93","1","1.19"
"Thurrock","10","0.66","85","2.14","0","0.00","52","3.12","449","2.22","2","0.65"
"Torbay","5","2.21","0","0.00","0","0.00","59","9.39","1,337","7.16","2","1.96"
"Tower Hamlets","520","1.81","249","5.46","1","0.38","194","6.92","328","5.50","11","0.90"
"Trafford","50","0.85","77","5.20","2","0.28","163","5.31","885","3.07","13","1.53"
"Wakefield","115","5.57","35","5.04","8","4.60","134","8.36","4,229","8.94","3","0.93"
"Walsall","188","1.63","115","4.75","2","1.14","211","6.43","1,524","4.78","15","2.34"
"Waltham Forest","230","2.08","674","8.37","0","0.00","258","5.35","608","3.69","46","2.94"
"Wandsworth","47","0.79","370","5.07","0","0.00","194","4.51","227","1.63","29","2.10"
"Warrington","19","2.06","17","8.13","1","0.74","31","2.99","950","3.24","5","1.93"
"Warwickshire","32","0.67","43","4.49","0","0.00","168","4.40","2,499","3.55","7","1.42"
"West Berkshire","19","2.13","24","6.05","2","2.41","84","6.61","858","3.78","9","5.33"
"West Sussex","101","1.83","82","4.88","2","0.67","326","6.13","4,252","4.35","11","1.79"
"Westminster","78","2.48","424","9.91","6","1.90","130","5.35","219","3.58","426","7.52"
"Wigan","5","0.83","13","2.23","0","0.00","31","2.93","1,957","4.50","8","1.94"
"Wiltshire","2","0.19","29","3.09","2","1.15","131","5.88","2,955","4.78","16","3.03"
"Windsor and Maidenhead","44","1.40","7","2.12","0","0.00","70","3.91","533","3.39","3","0.98"
"Wirral","12","0.97","14","8.28","2","0.79","61","4.40","2,208","4.78","5","2.92"
"Wokingham","22","0.62","36","4.51","0","0.00","89","4.91","612","3.16","2","0.81"
"Wolverhampton","146","1.41","287","6.19","1","0.60","431","8.42","1,138","4.97","21","3.48"
"Worcestershire","63","2.09","23","5.36","1","0.67","110","3.87","2,529","3.52","14","4.49"
"York","2","0.39","4","3.77","0","0.00","27","3.52","878","3.77","3","1.69"
