"Measure","Year","Time_type","Ethnicity","Ethnicity_type","Geography","Broad ethnicity","Gender","Gender_type","Teacher","Teacher_type","School","School_type","Value","Value_type","Value_note","Teachers"
"Number of teachers","2016","Year","Any other Asian Background","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2900"
"Number of teachers","2016","Year","Black Caribbean","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","4900"
"Number of teachers","2016","Year","Black African","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.8","%","","3700"
"Number of teachers","2016","Year","Any other Black background","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1500"
"Number of teachers","2016","Year","Chinese","16+1","England","Chinese and other","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","800"
"Number of teachers","2016","Year","Any other ethnic group","16+1","England","Chinese and other","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","2600"
"Number of teachers","2016","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.8","%","","472500"
"Number of teachers","2016","Year","Refused","16+1","England","Unknown","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","3600"
"Number of teachers","2016","Year","Information not yet obtained","16+1","England","Unknown","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","5.5","%","","27800"
"Number of teachers","2017","Year","Any other Asian Background","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2900"
"Number of teachers","2017","Year","Any other Black background","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1500"
"Number of teachers","2017","Year","Any other ethnic group","16+1","England","Chinese and other","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2600"
"Number of teachers","2017","Year","Any other mixed background","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","2300"
"Number of teachers","2017","Year","Any other white background","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.8","%","","17800"
"Number of teachers","2017","Year","Bangladeshi","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","2500"
"Number of teachers","2017","Year","Black - African","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.8","%","","3800"
"Number of teachers","2017","Year","Black Caribbean","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","4800"
"Number of teachers","2017","Year","Chinese","16+1","England","Chinese and other","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","800"
"Number of teachers","2017","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.5","%","","465500"
"Number of teachers","2017","Year","Indian","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.9","%","","8600"
"Number of teachers","2017","Year","Information not yet obtained","16+1","England","Unknown","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","5.9","%","","29300"
"Number of teachers","2017","Year","Pakistani","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","5100"
"Number of teachers","2017","Year","Refused","16+1","England","Unknown","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","3300"
"Number of teachers","2017","Year","White - British","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","86.2","%","","401400"
"Number of teachers","2017","Year","White - Irish","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.6","%","","7500"
"Number of teachers","2017","Year","White and Asian","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1600"
"Number of teachers","2017","Year","White and Black African","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","600"
"Number of teachers","2017","Year","White and Black Caribbean","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1600"
"Number of teachers","2018","Year","Any Other Asian Background","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","3100"
"Number of teachers","2018","Year","Any Other Black Background","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1500"
"Number of teachers","2018","Year","Any Other Ethnic Group","16+1","England","Chinese and other","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2700"
"Number of teachers","2018","Year","Any Other Mixed Background","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","2400"
"Number of teachers","2018","Year","Any Other White Background","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.9","%","","18000"
"Number of teachers","2018","Year","Bangladeshi","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2700"
"Number of teachers","2018","Year","Black African","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.9","%","","4000"
"Number of teachers","2018","Year","Black Caribbean","16+1","England","Black","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.0","%","","4800"
"Number of teachers","2018","Year","Chinese","16+1","England","Chinese and other","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","800"
"Number of teachers","2018","Year","Ethnicity Details Provided","16+1","England","Ethnicity details provided","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","92.9","%","","464700"
"Number of teachers","2018","Year","Indian","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.9","%","","8900"
"Number of teachers","2018","Year","Information Not Yet Obtained","16+1","England","Unknown","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","6.3","%","","31500"
"Number of teachers","2018","Year","Pakistani","16+1","England","Asian","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.2","%","","5500"
"Number of teachers","2018","Year","Refused","16+1","England","Unknown","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.8","%","","3800"
"Number of teachers","2018","Year","White and Asian","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1600"
"Number of teachers","2018","Year","White and Black African","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","600"
"Number of teachers","2018","Year","White and Black Caribbean","16+1","England","Mixed","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","1700"
"Number of teachers","2018","Year","White British","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","85.9","%","","399300"
"Number of teachers","2018","Year","White Irish","16+1","England","White","All","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.6","%","","7300"
"Number of teachers","2016","Year","White - British","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","86.4","%","","99700"
"Number of teachers","2016","Year","White - Irish","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2","%","","2300"
"Number of teachers","2016","Year","Any other white background","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.3","%","","3800"
"Number of teachers","2016","Year","White and Black Caribbean","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","300"
"Number of teachers","2016","Year","White and Black African","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","200"
"Number of teachers","2016","Year","White and Asian","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","400"
"Number of teachers","2016","Year","Any other mixed background","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","500"
"Number of teachers","2016","Year","Indian","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.5","%","","1700"
"Number of teachers","2016","Year","Pakistani","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","1200"
"Number of teachers","2016","Year","Bangladeshi","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","600"
"Number of teachers","2016","Year","Any other Asian Background","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","800"
"Number of teachers","2016","Year","Black Caribbean","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","1100"
"Number of teachers","2016","Year","Black African","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.2","%","","1400"
"Number of teachers","2016","Year","Any other Black background","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","400"
"Number of teachers","2016","Year","Chinese","16+1","England","Chinese and other","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","200"
"Number of teachers","2016","Year","Any other ethnic group","16+1","England","Chinese and other","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","600"
"Number of teachers","2016","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.3","%","","115400"
"Number of teachers","2016","Year","Refused","16+1","England","Unknown","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.9","%","","1100"
"Number of teachers","2016","Year","Information not yet obtained","16+1","England","Unknown","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","5.8","%","","7200"
"Number of teachers","2017","Year","Any other Asian Background","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","800"
"Number of teachers","2017","Year","Any other Black background","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","500"
"Number of teachers","2017","Year","Any other ethnic group","16+1","England","Chinese and other","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","700"
"Number of teachers","2017","Year","Any other mixed background","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","500"
"Number of teachers","2017","Year","Any other white background","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.3","%","","3700"
"Number of teachers","2017","Year","Bangladeshi","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","700"
"Number of teachers","2017","Year","Black - African","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.3","%","","1500"
"Number of teachers","2017","Year","Black Caribbean","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","1100"
"Number of teachers","2017","Year","Chinese","16+1","England","Chinese and other","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","200"
"Number of teachers","2017","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.1","%","","113300"
"Number of teachers","2017","Year","Indian","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.5","%","","1700"
"Number of teachers","2017","Year","Information not yet obtained","16+1","England","Unknown","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","6.1","%","","7500"
"Number of teachers","2017","Year","Pakistani","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","1200"
"Number of teachers","2017","Year","Refused","16+1","England","Unknown","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.8","%","","900"
"Number of teachers","2017","Year","White - British","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","86.2","%","","97600"
"Number of teachers","2017","Year","White - Irish","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","2","%","","2200"
"Number of teachers","2017","Year","White and Asian","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","400"
"Number of teachers","2017","Year","White and Black African","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","200"
"Number of teachers","2017","Year","White and Black Caribbean","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","400"
"Number of teachers","2018","Year","Any Other Asian Background","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","800"
"Number of teachers","2018","Year","Any Other Black Background","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","400"
"Number of teachers","2018","Year","Any Other Ethnic Group","16+1","England","Chinese and other","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","700"
"Number of teachers","2018","Year","Any Other Mixed Background","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","500"
"Number of teachers","2018","Year","Any Other White Background","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.3","%","","3700"
"Number of teachers","2018","Year","Bangladeshi","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","700"
"Number of teachers","2018","Year","Black African","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.3","%","","1500"
"Number of teachers","2018","Year","Black Caribbean","16+1","England","Black","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.0","%","","1100"
"Number of teachers","2018","Year","Chinese","16+1","England","Chinese and other","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","200"
"Number of teachers","2018","Year","Ethnicity Details Provided","16+1","England","Ethnicity details provided","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","92.5","%","","112500"
"Number of teachers","2018","Year","Indian","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.5","%","","1700"
"Number of teachers","2018","Year","Information Not Yet Obtained","16+1","England","Unknown","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","6.7","%","","8100"
"Number of teachers","2018","Year","Pakistani","16+1","England","Asian","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","1300"
"Number of teachers","2018","Year","Refused","16+1","England","Unknown","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.9","%","","1100"
"Number of teachers","2018","Year","White and Asian","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.4","%","","500"
"Number of teachers","2018","Year","White and Black African","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","200"
"Number of teachers","2018","Year","White and Black Caribbean","16+1","England","Mixed","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","400"
"Number of teachers","2018","Year","White British","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","85.9","%","","96600"
"Number of teachers","2018","Year","White Irish","16+1","England","White","Men","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.9","%","","2200"
"Number of teachers","2016","Year","White - British","16+1","England","White","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","86.6","%","","309000"
"Number of teachers","2016","Year","White - Irish","16+1","England","White","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.6","%","","5600"
"Number of teachers","2016","Year","Any other white background","16+1","England","White","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","3.9","%","","14100"
"Number of teachers","2016","Year","White and Black Caribbean","16+1","England","Mixed","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1200"
"Number of teachers","2016","Year","White and Black African","16+1","England","Mixed","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.1","%","","400"
"Number of teachers","2016","Year","White and Asian","16+1","England","Mixed","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1100"
"Number of teachers","2016","Year","Any other mixed background","16+1","England","Mixed","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","1700"
"Number of teachers","2016","Year","Indian","16+1","England","Asian","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.9","%","","6800"
"Number of teachers","2016","Year","Pakistani","16+1","England","Asian","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1","%","","3700"
"Number of teachers","2016","Year","Bangladeshi","16+1","England","Asian","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","1700"
"Number of teachers","2016","Year","Any other Asian Background","16+1","England","Asian","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2100"
"Number of teachers","2016","Year","Black Caribbean","16+1","England","Black","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","1.1","%","","3800"
"Number of teachers","2016","Year","Black African","16+1","England","Black","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.6","%","","2200"
"Number of teachers","2016","Year","Any other Black background","16+1","England","Black","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.3","%","","1000"
"Number of teachers","2016","Year","Chinese","16+1","England","Chinese and other","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.2","%","","600"
"Number of teachers","2016","Year","Any other ethnic group","16+1","England","Chinese and other","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.5","%","","1900"
"Number of teachers","2016","Year","Ethnicity details provided","16+1","England","Ethnicity details provided","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","93.9","%","","357000"
"Number of teachers","2016","Year","Refused","16+1","England","Unknown","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","0.7","%","","2500"
"Number of teachers","2016","Year","Information not yet obtained","16+1","England","Unknown","Women","All/Men/Women","All","All/Heads/deputies and assistants/Classroom and others","All","All/Nursery and Primary/Secondary/Special/Centrally employed","5.4","%","","20600"
