"Measure","Time","Ethnicity","Ethnicity_type","Role_Type","Broad_grade","Grade","Entry_level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1123529"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Asian","ONS 6+1","All Staff","All grades","All grades","All","8","86263"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Black","ONS 6+1","All Staff","All grades","All grades","All","5.3","57135"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","5853"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.3","13816"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Other","ONS 6+1","All Staff","All grades","All grades","All","1.9","20328"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","48211"
"Percentage of NHS staff in NHS trusts and CCGs","March 2013","White","ONS 6+1","All Staff","All grades","All grades","All","82.9","891923"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1126947"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Asian","ONS 6+1","All Staff","All grades","All grades","All","8.2","88678"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Black","ONS 6+1","All Staff","All grades","All grades","All","5.4","58030"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","5817"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.4","14840"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Other","ONS 6+1","All Staff","All grades","All grades","All","1.9","20593"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","48347"
"Percentage of NHS staff in NHS trusts and CCGs","March 2014","White","ONS 6+1","All Staff","All grades","All grades","All","82.6","890642"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1143102"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","All Staff","All grades","All grades","All","8.5","92911"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","All Staff","All grades","All grades","All","5.4","59135"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","5868"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.4","15675"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","All Staff","All grades","All grades","All","1.9","21100"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","50164"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","All Staff","All grades","All grades","All","82.2","898249"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1164471"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","All Staff","All grades","All grades","All","8.8","97449"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","All Staff","All grades","All grades","All","5.5","61232"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","6010"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.5","16718"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","All Staff","All grades","All grades","All","2","21820"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","51540"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","All Staff","All grades","All grades","All","81.7","909702"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1187125"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Asian","ONS 6+1","All Staff","All grades","All grades","All","9.2","104269"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Black","ONS 6+1","All Staff","All grades","All grades","All","5.7","64209"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.5","6124"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.6","17912"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Other","ONS 6+1","All Staff","All grades","All grades","All","2","22999"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","52034"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","White","ONS 6+1","All Staff","All grades","All grades","All","81","919578"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1205246"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","Asian","ONS 6+1","All Staff","All grades","All grades","All","9.6","110885"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","Black","ONS 6+1","All Staff","All grades","All grades","All","5.9","67852"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.6","6370"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.7","19229"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","Other","ONS 6+1","All Staff","All grades","All grades","All","2.1","24598"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","53406"
"Percentage of NHS staff in NHS trusts and CCGs","March 2018","White","ONS 6+1","All Staff","All grades","All grades","All","80.1","922906"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","All","ONS 6+1","All Staff","All grades","All grades","All","N/A","1238061"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Asian","ONS 6+1","All Staff","All grades","All grades","All","10","118396"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Black","ONS 6+1","All Staff","All grades","All grades","All","6.1","72321"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Chinese","ONS 6+1","All Staff","All grades","All grades","All","0.6","6536"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Mixed","ONS 6+1","All Staff","All grades","All grades","All","1.7","20607"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Other","ONS 6+1","All Staff","All grades","All grades","All","2.3","27169"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","Unknown","ONS 6+1","All Staff","All grades","All grades","All","N/A","58488"
"Percentage of NHS staff in NHS trusts and CCGs","March 2019","White","ONS 6+1","All Staff","All grades","All grades","All","79.2","934544"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","All grades","All grades","All","N/A","102422"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","All grades","All grades","All","29.1","27499"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","All grades","All grades","All","3.7","3477"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","All grades","All grades","All","2.1","2010"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","All grades","All grades","All","2.4","2231"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","All grades","All grades","All","4.1","3850"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","All grades","All grades","All","N/A","8042"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","All grades","All grades","All","58.6","55313"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","3707"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","39.4","1360"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","4.8","166"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","0.6","22"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","2.1","72"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","8.5","295"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","251"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","44.6","1541"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","37836"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","21","7526"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","2.8","1008"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.7","600"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.6","568"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","3.5","1260"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","2063"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","69.4","24811"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","7642"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","38.4","2625"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","5.4","370"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3","204"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.4","229"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","4.8","325"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","810"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","45.1","3079"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","N/A","6185"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","22.3","1286"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.1","179"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.7","215"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.9","228"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","3.2","182"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","N/A","412"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 1","Graduate","63.8","3683"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","N/A","6228"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","24.6","1390"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.8","215"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.3","187"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.3","184"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","3.7","207"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","N/A","579"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Junior Doctor","Foundation Doctor Year 2","Graduate","61.4","3466"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","N/A","3599"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","18.9","619"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2.1","68"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","0.5","17"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.2","39"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","2.3","77"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","N/A","316"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","75","2463"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","N/A","1965"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","16.7","305"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.7","50"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.5","27"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.5","28"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.9","35"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","N/A","139"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","75.6","1381"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","4465"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","46.4","1910"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","5.7","234"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","0.9","39"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","2.5","101"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","6.7","275"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","N/A","346"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Senior Doctor","Specialty Doctor","Graduate","37.9","1560"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","29332"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","36.9","9714"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4.1","1073"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","2.6","687"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","2.8","745"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","4","1057"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","N/A","3031"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Junior Doctor","Specialty Registrar","Graduate","49.5","13025"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","All","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","2075"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Asian","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","47.1","897"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Black","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","6.4","122"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Chinese","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","0.7","14"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Mixed","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","2.3","43"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Other","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","8.7","165"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","Unknown","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","N/A","171"
"Percentage of NHS staff in NHS trusts and CCGs","March 2010","White","ONS 6+1","Medical","Senior Doctor","Staff Grade","Graduate","34.8","663"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Medical","All grades","All grades","All","N/A","103898"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Medical","All grades","All grades","All","29","27938"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Medical","All grades","All grades","All","3.7","3561"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Medical","All grades","All grades","All","2.2","2136"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Medical","All grades","All grades","All","2.5","2367"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Medical","All grades","All grades","All","4.2","4004"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Medical","All grades","All grades","All","N/A","7444"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Medical","All grades","All grades","All","58.5","56448"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","3790"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","38.9","1382"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","5.3","190"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","0.6","23"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","2.4","85"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","8.8","312"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","N/A","236"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Medical","Senior Doctor","Associate Specialist","Graduate","44","1562"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","39135"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","22.2","8243"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","2.8","1040"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.7","644"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","1.6","608"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","3.5","1298"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","N/A","2057"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Medical","Senior Doctor","Consultant","Graduate","68.1","25245"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","All","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","8392"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Asian","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","32.3","2448"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Black","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","5","379"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Chinese","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","2.7","205"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Mixed","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","3.5","264"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Other","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","5.1","387"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","Unknown","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","N/A","821"
"Percentage of NHS staff in NHS trusts and CCGs","March 2011","White","ONS 6+1","Medical","Junior Doctor","Core Training","Graduate","51.4","3888"
