"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Classification of first degree","Count","Value","Value_type"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Academic year","Lower second, third or pass","53020","21.8","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Academic year","Unclassified","15850","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2015/16","Academic year","Upper second class honours","126465","52","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Academic year","First class honours","2195","10.6","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Academic year","Lower second, third or pass","9795","47.5","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Academic year","Unclassified","775","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2015/16","Academic year","Upper second class honours","8640","41.9","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Academic year","First class honours","5740","18.3","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Academic year","Lower second, third or pass","10595","33.8","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Academic year","Unclassified","2625","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2015/16","Academic year","Upper second class honours","15040","47.9","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Academic year","First class honours","2325","20.7","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Academic year","Lower second, third or pass","3105","27.7","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Academic year","Unclassified","450","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2015/16","Academic year","Upper second class honours","5775","51.5","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Academic year","First class honours","685","17.4","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Academic year","Lower second, third or pass","1405","35.7","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Academic year","Unclassified","255","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2015/16","Academic year","Upper second class honours","1850","47","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Academic year","First class honours","915","15","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Academic year","Lower second, third or pass","2985","48.9","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Academic year","Unclassified","635","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2015/16","Academic year","Upper second class honours","2210","36.2","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Academic year","First class honours","71955","28.5","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Academic year","Lower second, third or pass","51970","20.6","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Academic year","Unclassified","15215","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2016/17","Academic year","Upper second class honours","128335","50.9","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Academic year","First class honours","2575","11.9","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Academic year","Lower second, third or pass","9850","45.5","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Academic year","Unclassified","700","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2016/17","Academic year","Upper second class honours","9240","42.6","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Academic year","First class honours","6885","20.6","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Academic year","Lower second, third or pass","10390","31.1","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Academic year","Unclassified","2615","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2016/17","Academic year","Upper second class honours","16095","48.2","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Academic year","First class honours","2880","24.1","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Academic year","Lower second, third or pass","3070","25.7","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Academic year","Unclassified","545","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2016/17","Academic year","Upper second class honours","5990","50.2","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Academic year","First class honours","850","20.1","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Academic year","Lower second, third or pass","1400","33.1","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Academic year","Unclassified","235","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2016/17","Academic year","Upper second class honours","1975","46.7","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Academic year","First class honours","1045","16.8","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Academic year","Lower second, third or pass","2855","46","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Academic year","Unclassified","550","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2016/17","Academic year","Upper second class honours","2310","37.2","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2017/18","Academic year","First class honours","77280","30.7","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2017/18","Academic year","Lower second, third or pass","48440","19.3","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2017/18","Academic year","Unclassified","14535","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2017/18","Academic year","Upper second class honours","125630","50","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2017/18","Academic year","First class honours","3040","13.4","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2017/18","Academic year","Lower second, third or pass","9970","44","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2017/18","Academic year","Unclassified","745","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2017/18","Academic year","Upper second class honours","9625","42.5","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2017/18","Academic year","First class honours","7890","22.5","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2017/18","Academic year","Lower second, third or pass","10420","29.8","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2017/18","Academic year","Unclassified","2710","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2017/18","Academic year","Upper second class honours","16700","47.7","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2017/18","Academic year","First class honours","3375","26.1","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2017/18","Academic year","Lower second, third or pass","3000","23.2","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2017/18","Academic year","Unclassified","540","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2017/18","Academic year","Upper second class honours","6535","50.6","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2017/18","Academic year","First class honours","955","21.4","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2017/18","Academic year","Lower second, third or pass","1475","33","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2017/18","Academic year","Unclassified","305","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2017/18","Academic year","Upper second class honours","2035","45.6","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2017/18","Academic year","First class honours","1055","18.4","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2017/18","Academic year","Lower second, third or pass","2655","46.4","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2017/18","Academic year","Unclassified","580","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2017/18","Academic year","Upper second class honours","2015","35.2","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2018/19","Academic year","First class honours","78495","31.4","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2018/19","Academic year","Lower second, third or pass","47055","18.8","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2018/19","Academic year","Unclassified","14725","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2018/19","Academic year","Upper second class honours","124730","49.8","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2018/19","Academic year","First class honours","3265","14","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2018/19","Academic year","Lower second, third or pass","9850","42.3","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2018/19","Academic year","Unclassified","720","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2018/19","Academic year","Upper second class honours","10170","43.7","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2018/19","Academic year","First class honours","8470","22.8","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2018/19","Academic year","Lower second, third or pass","11090","29.9","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2018/19","Academic year","Unclassified","2600","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2018/19","Academic year","Upper second class honours","17575","47.3","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2018/19","Academic year","First class honours","3550","26.1","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2018/19","Academic year","Lower second, third or pass","3220","23.7","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2018/19","Academic year","Unclassified","580","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2018/19","Academic year","Upper second class honours","6845","50.3","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2018/19","Academic year","First class honours","1070","22.2","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2018/19","Academic year","Lower second, third or pass","1615","33.4","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2018/19","Academic year","Unclassified","285","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2018/19","Academic year","Upper second class honours","2145","44.4","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2018/19","Academic year","First class honours","1105","18.6","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2018/19","Academic year","Lower second, third or pass","2680","45.2","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2018/19","Academic year","Unclassified","605","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2018/19","Academic year","Upper second class honours","2140","36.1","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2019/20","Academic year","First class honours","92260","38.2","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2019/20","Academic year","Lower second, third or pass","34100","14.1","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2019/20","Academic year","Unclassified","12585","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2019/20","Academic year","Upper second class honours","114885","47.6","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2019/20","Academic year","First class honours","4340","19.1","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2019/20","Academic year","Lower second, third or pass","7800","34.2","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2019/20","Academic year","Unclassified","750","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2019/20","Academic year","Upper second class honours","10640","46.7","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2019/20","Academic year","First class honours","11515","30.3","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2019/20","Academic year","Lower second, third or pass","8520","22.4","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2019/20","Academic year","Unclassified","2710","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2019/20","Academic year","Upper second class honours","17925","47.2","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2019/20","Academic year","First class honours","4575","33.2","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2019/20","Academic year","Lower second, third or pass","2450","17.8","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2019/20","Academic year","Unclassified","565","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2019/20","Academic year","Upper second class honours","6740","49","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2019/20","Academic year","First class honours","1415","28","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2019/20","Academic year","Lower second, third or pass","1255","24.8","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2019/20","Academic year","Unclassified","290","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2019/20","Academic year","Upper second class honours","2385","47.2","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2019/20","Academic year","First class honours","1370","22.5","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2019/20","Academic year","Lower second, third or pass","2365","38.9","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2019/20","Academic year","Unclassified","635","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2019/20","Academic year","Upper second class honours","2350","38.6","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2020/21","Academic year","First class honours","101220","39.4","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2020/21","Academic year","Lower second, third or pass","36815","14.3","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2020/21","Academic year","Unclassified","12120","NA","%"
"% of ethnic group with each classification of degree","White","ONS 2011 5+1","2020/21","Academic year","Upper second class honours","118945","46.3","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2020/21","Academic year","First class honours","4880","20","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2020/21","Academic year","Lower second, third or pass","8045","32.9","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2020/21","Academic year","Unclassified","660","NA","%"
"% of ethnic group with each classification of degree","Black","ONS 2011 5+1","2020/21","Academic year","Upper second class honours","11510","47.1","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2020/21","Academic year","First class honours","13490","33.3","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2020/21","Academic year","Lower second, third or pass","8140","20.1","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2020/21","Academic year","Unclassified","2655","NA","%"
"% of ethnic group with each classification of degree","Asian","ONS 2011 5+1","2020/21","Academic year","Upper second class honours","18895","46.6","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2020/21","Academic year","First class honours","5375","35.6","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2020/21","Academic year","Lower second, third or pass","2530","16.8","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2020/21","Academic year","Unclassified","610","NA","%"
"% of ethnic group with each classification of degree","Mixed","ONS 2011 5+1","2020/21","Academic year","Upper second class honours","7195","47.6","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2020/21","Academic year","First class honours","1765","30.8","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2020/21","Academic year","Lower second, third or pass","1310","22.9","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2020/21","Academic year","Unclassified","290","NA","%"
"% of ethnic group with each classification of degree","Other","ONS 2011 5+1","2020/21","Academic year","Upper second class honours","2650","46.3","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2020/21","Academic year","First class honours","2095","26.9","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2020/21","Academic year","Lower second, third or pass","2690","34.6","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2020/21","Academic year","Unclassified","650","NA","%"
"% of ethnic group with each classification of degree","Unknown","ONS 2011 5+1","2020/21","Academic year","Upper second class honours","2990","38.5","%"
